,date_hour,client,device_type,time_zone,os_name,browser_name,ad_unit,size,bidder,bid_range,media_type,request_count,response_count,prebid_win_count,win_count,sum_bid,sum_time_to_respond,median,min_bid,max_bid,avg_bid,sum_2nd_highest_bid,sum_prebid_winning_bid,sum_winning_bid,sum_nobid,sum_timeout
0,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-Footers,728x90,onemobile,0.5-0.6,display,4,4,1,,2.3408,6614,,0.5852,0.5852,0.5852,0.5852,0.5852,,,
1,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-Footers,728x90,rhythmone,0.3-0.4,display,3,3,,,1.0323,5171,,0.33945,0.34875,0.3441,,,,,
2,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-InLine-1,300x250,undertone,0.9-1,display,1,1,,,0.96,1523,,0.96,0.96,0.96,,,,,
3,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-O-300x250-1,300x250, , ,display,43,0,,,,,,,,,,,,,
4,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-O-300x250-1,300x250,rhythmone,0.3-0.4,display,2,2,,,0.69285,3570,0.34875,0.3441,0.34875,0.346425,,,,,
5,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-O-300x250-3,300x250,pulsepoint,0.4-0.5,display,1,1,,,0.4802,1413,0.4802,0.4802,0.4802,0.4802,,,,,
6,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-Responsive-B,468x60, , ,display,18,0,,,,,,,,,,,,,
7,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-Responsive-T,728x90,pubmatic,0.2-0.3,display,3,3,,,0.7896,4823,,0.2444,0.2726,0.2632,,,,,
8,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-SideBar-1,300x250,onemobile,1-1.1,display,1,1,,,1.03610914,2064,,1.03610914,1.03610914,1.03610914,,,,,
9,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-85.04183133,div-gpt-ad-BT-D-SideBar-T,300x600,onemobile,0.7-0.8,display,1,1,1,,0.7091069,1896,,0.7091069,0.7091069,0.7091069,,0.7091069,,,
10,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-89.04389116,div-gpt-ad-BT-D-Footers,728x90,pubmatic,0-0.1,display,1,1,,,0.0282,836,,0.0282,0.0282,0.0282,,,,,
11,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-89.04389116,div-gpt-ad-BT-D-O-300x250-1,300x250, , ,display,297,0,,,,,,,,,,,,,
12,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-89.04389116,div-gpt-ad-BT-D-Responsive-B,468x60, , ,display,54,0,,,,,,,,,,,,,
13,2021-04-11T01:00:00,asc126828,Desktop,America/Chicago,Linux,Chrome-89.04389116,div-gpt-ad-BT-D-SideBar-1,300x250,triplelift,0.1-0.2,display,2,2,,,0.23166,333,,0.11583,0.11583,0.11583,,,,,
